no,use_date,use_elec,co2_elec,use_water,co2_water,use_waste,co2_waste,use_vehicle,co2_vehicle,use_gas,co2_gas,use_total,create_date,modify_date
1,2024-01,3317,1585.858,1,0.234,,,280,47.098,,,1633.19,2024-08-14 05:09:46.630602,
2,2024-02,2375,1135.487,0,0.0,,,123,20.69,,,1156.177,2024-08-14 05:09:46.630602,
3,2024-03,2154,1029.827,0,0.0,,,133,22.372,,,1052.199,2024-08-14 05:09:46.630602,
4,2024-04,1206,576.589,1,0.234,,,418,70.311,,,647.134,2024-08-14 05:09:46.630602,
5,2024-05,1138,544.078,2,0.468,,,87,14.634,,,559.18,2024-08-14 05:09:46.630602,
6,2024-06,2067,988.233,2,0.468,,,107,17.998,,,1006.699,2024-08-14 05:09:46.630602,
7,2024-07,0,0.0,0,0.0,,,480,80.74,,,80.74,2024-08-14 05:09:46.630602,
8,2024-08,0,0.0,0,0.0,,,0,0.0,,,0.0,2024-08-14 05:09:46.630602,
9,2024-09,0,0.0,0,0.0,,,0,0.0,,,0.0,2024-08-14 05:09:46.630602,
10,2024-10,0,0.0,0,0.0,,,0,0.0,,,0.0,2024-08-14 05:09:46.631644,
11,2024-11,0,0.0,0,0.0,,,0,0.0,,,0.0,2024-08-14 05:09:46.631644,
12,2024-12,0,0.0,0,0.0,,,0,0.0,,,0.0,2024-08-14 05:09:46.631644,
